Name,Level,School,Casting Time,Ritual,Duration,Concentration,Range (feet),Area (feet),Area Type,Attack/ Save,Damage/Effect,V,S,M,Materials,Consumed,Spell Tags,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Source,Details,Link,
Acid Splash,Cantrip,Evocation,1 Action,FALSE,Instantaneous,FALSE,60,5,Sphere,Dexterity,Acid,TRUE,TRUE,FALSE,,FALSE,Damage,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PHB 2024,"You create an acidic bubble at a point within range, where it explodes in a 5-foot-radius Sphere. Each creature in that Sphere must succeed on a Dexterity saving throw or take 1d6 Acid damage. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6). ",https://www.dndbeyond.com/spells/2618844-acid-splash,
Aid,2,Abjuration,1 Action,FALSE,8 Hours,FALSE,30,,,,Buff,TRUE,TRUE,TRUE,Strip of White Cloth,FALSE,Buff,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PHB 2024,Choose up to three creatures within range. Each target’s Hit Point maximum and current Hit Points increase by 5 for the duration. Using a Higher-Level Spell Slot. Each target’s Hit Points increase by 5 for each spell slot level above 2.,https://www.dndbeyond.com/spells/2618845-aid,
Alarm,1,Abjuration,1 Minute,FALSE,8 Hours,FALSE,30,30,Cube,,Detection,TRUE,TRUE,TRUE,"Bell, Silver Wire",FALSE,Detection,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,PHB 2024,"You set an alarm against intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot Cube. Until the spell ends, an alarm alerts you whenever a creature touches or enters the warded area. When you cast the spell, you can designate creatures that won’t set off the alarm. You also choose whether the alarm is audible or mental: Audible Alarm. The alarm produces the sound of a handbell for 10 seconds within 60 feet of the warded area. Mental Alarm. You are alerted by a mental ping if you are within 1 mile of the warded area. This ping awakens you if you’re asleep.",https://www.dndbeyond.com/spells/2619222-alarm,
Alter Self,2,Transmutation,1 Action,FALSE,1 Hour,TRUE,Self,,,,Shapechanging,TRUE,TRUE,FALSE,,FALSE,Shapechanging,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PHB 2024,"You alter your physical form. Choose one of the following options. Its effects last for the duration, during which you can take a Magic action to replace the option you chose with a different one. Aquatic Adaptation. You sprout gills and grow webs between your fingers. You can breathe underwater and gain a Swim Speed equal to your Speed. Change Appearance. You alter your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and other distinguishing characteristics. You can make yourself appear as a member of another species, though none of your statistics change. You can’t appear as a creature of a different size, and your basic shape stays the same; if you’re bipedal, you can’t use this spell to become quadrupedal, for instance. For the duration, you can take a Magic action to change your appearance in this way again. Natural Weapons. You grow claws (Slashing), fangs (Piercing), horns (Piercing), or hooves (Bludgeoning). When you use your Unarmed Strike to deal damage with that new growth, it deals 1d6 damage of the type in parentheses instead of dealing the normal damage for your Unarmed Strike, and you use your spellcasting ability modifier for the attack and damage rolls rather than using Strength.",https://www.dndbeyond.com/spells/2618846-alter-self,
Animal Friendship,1,Enchantment,1 Action,FALSE,24 Hours,FALSE,30,,,Wisdom,Charmed,TRUE,TRUE,TRUE,Morsel of Food,FALSE,"Control, Social",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,PHB 2024,"Target a Beast that you can see within range. The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration. If you or one of your allies deals damage to the target, the spells ends. Using a Higher-Level Spell Slot. You can target one additional Beast for each spell slot level above 1.",https://www.dndbeyond.com/spells/2618847-animal-friendship,
Animal Messenger,2,Enchantment,1 Action,TRUE,24 Hours,FALSE,30,,,,Communication,TRUE,TRUE,TRUE,Morsel of Food,FALSE,"Communication, Social",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,PHB 2024,"A Tiny Beast of your choice that you can see within range must succeed on a Charisma saving throw, or it attempts to deliver a message for you (if the target’s Challenge Rating isn’t 0, it automatically succeeds). You specify a location you have visited and a recipient who matches a general description, such as “a person dressed in the uniform of the town guard” or “a red-haired dwarf wearing a pointed hat.” You also communicate a message of up to twenty-five words. The Beast travels for the duration toward the specified location, covering about 25 miles per 24 hours or 50 miles if the Beast can fly. When the Beast arrives, it delivers your message to the creature that you described, mimicking your communication. If the Beast doesn’t reach its destination before the spell ends, the message is lost, and the Beast returns to where you cast the spell. Using a Higher-Level Spell Slot. The spell’s duration increases by 48 hours for each spell slot level above 2.",https://www.dndbeyond.com/spells/2618850-animal-messenger,
Animal Shapes,8,Transmutation,1 Action,FALSE,24 Hours,FALSE,30,,,,Shapechanging,TRUE,TRUE,FALSE,,FALSE,Shapechanging,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"Choose any number of willing creatures that you can see within range. Each target shape-shifts into a Large or smaller Beast of your choice that has a Challenge Rating of 4 or lower. You can choose a different form for each target. On later turns, you can take a Magic action to transform the targets again. A target’s game statistics are replaced by the chosen Beast’s statistics, but the target retains its creature type; Hit Points; Hit Point Dice; alignment; ability to communicate; and Intelligence, Wisdom, and Charisma scores. The target’s actions are limited by the Beast form’s anatomy, and it can’t cast spells. The target’s equipment melds into the new form, and the target can’t use any of that equipment while in that form. The target gains a number of Temporary Hit Points equal to the Hit Points of the first form into which it shape-shifts. These Temporary Hit Points vanish if any remain when the spell ends. The transformation lasts for the duration or until the target ends it as a Bonus Action.",https://www.dndbeyond.com/spells/2618851-animal-shapes,
Animate Dead,3,Necromancy,1 Minute,FALSE,Instantaneous,FALSE,10,,,,Creation,TRUE,TRUE,TRUE,"A Drop of Blood, a Piece of Flesh, and a Pinch of Bone Dust",FALSE,Creation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,PHB 2024,"Choose a pile of bones or a corpse of a Medium or Small Humanoid within range. The target becomes an Undead creature: a Skeleton if you chose bones or a Zombie if you chose a corpse. On each of your turns, you can take a Bonus Action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move on its next turn, or you can issue a general command, such as to guard a chamber or corridor. If you issue no commands, the creature takes the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow it until its task is complete. The creature is under your control for 24 hours, after which it stops obeying any command you’ve given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell rather than animating a new creature. Using a Higher-Level Spell Slot. You animate or reassert control over two additional Undead creatures for each spell slot level above 3. Each of the creatures must come from a different corpse or pile of bones.",https://www.dndbeyond.com/spells/2618853-animate-dead,
Animate Objects,5,Transmutation,1 Minute,FALSE,1 Minute,TRUE,120,,,,Creation,TRUE,TRUE,FALSE,,FALSE,"Creation, Damage",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,PHB 2024,"Objects animate at your command. Choose a number of nonmagical objects within range that aren’t being worn or carried, aren’t fixed to a surface, and aren’t Gargantuan. The maximum number of objects is equal to your spellcasting ability modifier; for this number, a Medium or smaller target counts as one object, a Large target counts as two, and a Huge target counts as three. Each target animates, sprouts legs, and becomes a Construct that uses the Animated Object stat block; this creature is under your control until the spell ends or until it is reduced to 0 Hit Points. Each creature you make with this spell is an ally to you and your allies. In combat, it shares your Initiative count and takes its turn immediately after yours. Until the spell ends, you can take a Bonus Action to mentally command any creature you made with this spell if the creature is within 500 feet of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to each one). If you issue no commands, the creature takes the Dodge action and moves only to avoid harm. When the creature drops to 0 Hit Points, it reverts to its object form, and any remaining damage carries over to that form. Using a Higher-Level Spell Slot. The creature’s Slam damage increases by 1d4 (Medium or smaller), 1d6 (Large), or 1d12 (Huge) for each spell slot level above 5.",https://www.dndbeyond.com/spells/2618855-animate-objects,
Antilife Shell,5,Abjuration,1 Action,FALSE,1 Hour,TRUE,Self,10,Sphere,,Control,TRUE,TRUE,FALSE,,FALSE,"Control, Warding",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PHB 2024,"An aura extends from you in a 10-foot Emanation for the duration. The aura prevents creatures other than Constructs and Undead from passing or reaching through it. An affected creature can cast spells or make attacks with Ranged or Reach weapons through the barrier. If you move so that an affected creature is forced to pass through the barrier, the spell ends.",https://www.dndbeyond.com/spells/2618856-antilife-shell,
